Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Competitive-Selfless,Distance-Competitive-Selfish,Balanced-Competitive-Selfless,Time-Competitive-Selfless,Balanced-Competitive-Selfish,Time-Competitive-Selfish
48,2022-04-12 09:43:16.139085,Balanced-Competitive-Selfish,0.3975150913949914,0.3442030041813588,0.3522750774512552,0.35978363570377053,0.2663480344096713,0.3975150913949914,0.29263338765999886
49,2022-04-12 09:43:46.538691,Balanced-Competitive-Selfish,0.3975150913949914,0.3442030041813588,0.3669549017321764,0.35978363570377053,0.2663480344096713,0.3975150913949914,0.29424717941435263
50,2022-04-12 09:44:16.900746,Balanced-Competitive-Selfish,0.39950693034800105,0.3442030041813588,0.36387563409677,0.35978363570377053,0.2663480344096713,0.39950693034800105,0.29424717941435263
51,2022-04-12 09:44:47.316442,Balanced-Competitive-Selfish,0.4020914323337103,0.3442030041813588,0.36387563409677,0.35978363570377053,0.2669363844812775,0.4020914323337103,0.29384702121490286
52,2022-04-12 09:45:17.748881,Balanced-Competitive-Selfish,0.4020914323337103,0.3442030041813588,0.36387563409677,0.35978363570377053,0.2669363844812775,0.4020914323337103,0.29384702121490286
53,2022-04-12 09:45:48.099824,Balanced-Competitive-Selfish,0.39950693034800105,0.34420300418135896,0.3640398719914981,0.35978363570377053,0.27499978306385214,0.39950693034800105,0.29384702121490286
54,2022-04-12 09:46:18.443422,Balanced-Competitive-Selfish,0.4020914323337103,0.34420300418135896,0.3715022451567847,0.36089131938020186,0.27499978306385214,0.4020914323337103,0.29384702121490286
55,2022-04-12 09:46:48.819637,Balanced-Competitive-Selfish,0.4051980088743076,0.34420300418135896,0.3715022451567847,0.36089131938020186,0.2750317677954907,0.4051980088743076,0.3013550089147997
56,2022-04-12 09:47:19.183315,Balanced-Competitive-Selfish,0.4051980088743076,0.3482364765010133,0.3715022451567847,0.36193893311485953,0.2759419272297992,0.4051980088743076,0.3013550089147997
57,2022-04-12 09:47:49.533479,Balanced-Competitive-Selfish,0.3908447915006751,0.3482364765010133,0.3715022451567847,0.36193893311485953,0.27419120326010615,0.3908447915006751,0.3013550089147997
58,2022-04-12 09:48:19.936844,Balanced-Competitive-Selfish,0.4051980088743076,0.3482364765010133,0.3741501328112007,0.36193893311485953,0.2760291919774852,0.4051980088743076,0.3047747586427245
59,2022-04-12 09:48:50.289052,Balanced-Competitive-Selfish,0.4051980088743076,0.35023308632529665,0.3793783587961182,0.36193893311485953,0.28112250565950236,0.4051980088743076,0.3047747586427245
60,2022-04-12 09:49:20.649833,Balanced-Competitive-Selfish,0.4051980088743076,0.35023308632529665,0.38544333584826806,0.36193893311485953,0.28112250565950236,0.4051980088743076,0.3077076564274814
